product_type	title	description	link	image_link	id	label	price	size	availability	condition	brand	google_product_category	gender	age_group	mpn	color	item_group_id	style_number	GTIN
JR 	 Slipknot The Wheel Jr Tank Top 	 Slipknot The Wheel Jr Tank Top - Official Slipknot tank top available in jr sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=S%5F00580%5F089%21AMTEE&color=BLACK&size=Xtra+Large& 	 http://www.band-tees.com/istarimages/p/p-S_00580_089!AMTEE.jpg 	 400120359468 	 Rock T-shirts 	 19.99 	 Xtra Large 	 in stock 	 New 	 Slipknot 	 Apparel & Accessories > Clothing > Shirts & Tops 	 Female 	 adult 	 SPK07038-XL 	 Black 	 SPK07038 	 S_00580_089 	 700811260036 
HOODIES 	 Misfits Discharge Skull Zip Hoodie  Sweatshirt 	 Misfits Discharge Skull Zip Hoodie - This is an adult size hoodie with the iconic Misfits skull logo distressed graphic on the front and nothing else anywhere on the hoodie. Really what else do you need?Grab this cool Misfits hoodie and stay warm when you layer up underneath. It's got a nice thick hood but the main body is thinner fleece like material and the cotton / poly blend will keep you warm on cooler days but you'll want to wear layers in more northern / colder climates and when it gets really cold in general. 	 http://www.band-tees.com/istar.asp?a=6&id=M%5F01180%5F092IMPC%21IMPCT&color=BLACK&size=Large& 	 http://www.band-tees.com/istarimages/p/p-M_01180_092IMPC!IMPCT.jpg 	 400120092464 	 Rock T-shirts 	 51.99 	 Large 	 in stock 	 New 	 Misfits 	 Apparel & Accessories > Clothing > Outerwear 	 Male 	 adult 	 MISZ02-L 	 Black 	 MISZ02 	 M_01180_092IMPC 	 700811260050 
HOODIES 	 Misfits Discharge Skull Zip Hoodie  Sweatshirt 	 Misfits Discharge Skull Zip Hoodie - This is an adult size hoodie with the iconic Misfits skull logo distressed graphic on the front and nothing else anywhere on the hoodie. Really what else do you need?Grab this cool Misfits hoodie and stay warm when you layer up underneath. It's got a nice thick hood but the main body is thinner fleece like material and the cotton / poly blend will keep you warm on cooler days but you'll want to wear layers in more northern / colder climates and when it gets really cold in general. 	 http://www.band-tees.com/istar.asp?a=6&id=M%5F01180%5F092IMPC%21IMPCT&color=BLACK&size=2XL& 	 http://www.band-tees.com/istarimages/p/p-M_01180_092IMPC!IMPCT.jpg 	 400120092488 	 Rock T-shirts 	 54.99 	 2XL 	 in stock 	 New 	 Misfits 	 Apparel & Accessories > Clothing > Outerwear 	 Male 	 adult 	 MISZ02-2XL 	 Black 	 MISZ02 	 M_01180_092IMPC 	 700811260067 
TSHIRTS 	 Misfits Legacy Metallic Print Tshirt 	 Misfits Legacy Metallic Print Tshirt - Official Misfits t-shirt available in adult (men's) sizes.Misfits text logo has a cool metallic ink (not foil) that shines just enough to be cool.100% cotton. 	 http://www.band-tees.com/istar.asp?a=6&id=M%5F01180%5F157%21BRVDO&color=BLACK&size=XTRA+LARGE& 	 http://www.band-tees.com/istarimages/p/p-M_01180_157!BRVDO.jpg 	 400120095229 	 Rock T-shirts 	 19.99 	 XTRA LARGE 	 in stock 	 New 	 Misfits 	 Apparel & Accessories > Clothing > Shirts & Tops 	 Male 	 adult 	 95361035-XL 	 Black 	 95361035 	 M_01180_157 	 700811260128 
TSHIRTS 	 MC5 Kick Out the Jams T-shirt 	 MC5 Kick Out the Jams T-shirt - Official MC5 t-shirt available in adult (men's) sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=M%5F22200%5F001%21HIFIE&color=BLACK&size=SMALL& 	 http://www.band-tees.com/istarimages/p/p-M_22200_001!HIFIE.jpg 	 400120263055 	 Rock T-shirts 	 19.99 	 SMALL 	 in stock 	 New 	 MC5 	 Apparel & Accessories > Clothing > Shirts & Tops 	 Male 	 adult 	 MAN-MCF-1001-S 	 Black 	 MAN-MCF-1001 	 M_22200_001 	 700811260142 
TSHIRTS 	 MC5 Kick Out the Jams T-shirt 	 MC5 Kick Out the Jams T-shirt - Official MC5 t-shirt available in adult (men's) sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=M%5F22200%5F001%21HIFIE&color=BLACK&size=LARGE& 	 http://www.band-tees.com/istarimages/p/p-M_22200_001!HIFIE.jpg 	 400120263079 	 Rock T-shirts 	 19.99 	 LARGE 	 in stock 	 New 	 MC5 	 Apparel & Accessories > Clothing > Shirts & Tops 	 Male 	 adult 	 MAN-MCF-1001-L 	 Black 	 MAN-MCF-1001 	 M_22200_001 	 700811260159 
TSHIRTS 	 MC5 Kick Out the Jams T-shirt 	 MC5 Kick Out the Jams T-shirt - Official MC5 t-shirt available in adult (men's) sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=M%5F22200%5F001%21HIFIE&color=BLACK&size=XTRA+LARGE& 	 http://www.band-tees.com/istarimages/p/p-M_22200_001!HIFIE.jpg 	 400120263086 	 Rock T-shirts 	 19.99 	 XTRA LARGE 	 in stock 	 New 	 MC5 	 Apparel & Accessories > Clothing > Shirts & Tops 	 Male 	 adult 	 MAN-MCF-1001-XL 	 Black 	 MAN-MCF-1001 	 M_22200_001 	 700811260166 
TEE 	 Nine Inch Nails Extension T-shirt 	 Nine Inch Nails Extension T-shirt - Official t-shirt available in adult (men's) sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=N%5F00300%5F49%21BRVDO&color=BLACK&size=SMALL& 	 http://www.band-tees.com/istarimages/p/p-N_00300_49!BRVDO.jpg 	 400120211230 	 Rock T-shirts 	 19.99 	 SMALL 	 in stock 	 New 	 Nine Inch Nails 	 Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts 	 Male 	 adult 	 20922015-S 	 Black 	 20922015 	 N_00300_49 	 700811260241 
TEE 	 Nine Inch Nails Extension T-shirt 	 Nine Inch Nails Extension T-shirt - Official t-shirt available in adult (men's) sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=N%5F00300%5F49%21BRVDO&color=BLACK&size=XX+LARGE& 	 http://www.band-tees.com/istarimages/p/p-N_00300_49!BRVDO.jpg 	 400120211278 	 Rock T-shirts 	 19.99 	 XX LARGE 	 in stock 	 New 	 Nine Inch Nails 	 Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts 	 Male 	 adult 	 20922015-XXL 	 Black 	 20922015 	 N_00300_49 	 700811260258 
TEE 	 Nine Inch Nails Corner Box T-shirt 	 Nine Inch Nails Corner Box T-shirt - Official t-shirt available in adult (men's) sizes. 	 http://www.band-tees.com/istar.asp?a=6&id=N%5F00300%5F50%21BRVDO&color=RED&size=SMALL& 	 http://www.band-tees.com/istarimages/p/p-N_00300_50!BRVDO.jpg 	 400120212190 	 Rock T-shirts 	 19.99 	 SMALL 	 in stock 	 New 	 Nine Inch Nails 	 Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts 	 Male 	 adult 	 20922014-S 	 Red 	 20922014 	 N_00300_50 	 700811260265 
